seq,t_send_ns,t_recv_ns,rtt_us
433,3996902480034,3996902520928,40.894
434,3996902521799,3996902562888,41.089
435,3996902563745,3996902604923,41.178
436,3996902605793,3996902646600,40.807
437,3996902647454,3996902687459,40.005
438,3996902688311,3996902729218,40.907
439,3996902730071,3996902770891,40.82
440,3996902771749,3996902828495,56.746
441,3996902829343,3996902880735,51.392
442,3996902881588,3996902931854,50.266
443,3996902932709,3996902983392,50.683
444,3996902984259,3996903034108,49.849
445,3996903034950,3996903085053,50.103
446,3996903085932,3996903136223,50.291
447,3996903137076,3996903187786,50.71
448,3996903188630,3996903240304,51.674
449,3996903241178,3996903291178,50.0
450,3996903292028,3996903343426,51.398
451,3996903344292,3996903395348,51.056
452,3996903396203,3996903446225,50.022
453,3996903447102,3996903497981,50.879
454,3996903498890,3996903548820,49.93
455,3996903549691,3996903600735,51.044
456,3996903601597,3996903652638,51.041
457,3996903653594,3996903704242,50.648
458,3996903705098,3996903756037,50.939
459,3996903756911,3996903806999,50.088
460,3996903809828,3996903851840,42.012
461,3996903852751,3996903981275,128.524
462,3996903982129,3996904024794,42.665
463,3996904025712,3996904067305,41.593
464,3996904068163,3996904109552,41.389
465,3996904110396,3996904151088,40.692
466,3996904151938,3996904193506,41.568
467,3996904194365,3996904234977,40.612
468,3996904235831,3996904275810,39.979
469,3996904276663,3996904316767,40.104
470,3996904317632,3996904358915,41.283
471,3996904359814,3996904400671,40.857
472,3996904401531,3996904442232,40.701
473,3996904443085,3996904484767,41.682
474,3996904485651,3996904539879,54.228
475,3996904546141,3996904600867,54.726
476,3996904601741,3996904647907,46.166
477,3996904648743,3996904689872,41.129
478,3996904690726,3996904731536,40.81
479,3996904732433,3996904773872,41.439
480,3996904774725,3996904815301,40.576
481,3996904816152,3996904857201,41.049
482,3996904858057,3996904899238,41.181
483,3996904900092,3996904940231,40.139
484,3996904941081,3996904981044,39.963
485,3996904981907,3996905022772,40.865
486,3996905023676,3996905063893,40.217
487,3996905064739,3996905122210,57.471
488,3996905123051,3996905172948,49.897
489,3996905173793,3996905224089,50.296
490,3996905224935,3996905274799,49.864
491,3996905277431,3996905327672,50.241
492,3996905328536,3996905378625,50.089
493,3996905379475,3996905430809,51.334
494,3996905431657,3996905482933,51.276
495,3996905483801,3996905534926,51.125
496,3996905535786,3996905585874,50.088
497,3996905586722,3996905636680,49.958
498,3996905637531,3996905687027,49.496
499,3996905687870,3996905737448,49.578
500,3996905738305,3996905788338,50.033
501,3996905789181,3996905838683,49.502
502,3996905839529,3996905890473,50.944
503,3996905891311,3996905941615,50.304
504,3996905942460,3996905992436,49.976
505,3996905993278,3996906044421,51.143
506,3996906045268,3996906095052,49.784
507,3996906095907,3996906146828,50.921
508,3996906147686,3996906197249,49.563
509,3996906198093,3996906247335,49.242
510,3996906248189,3996906299425,51.236
511,3996906300291,3996906350575,50.284
512,3996906351435,3996906402448,51.013
513,3996906403295,3996906453543,50.248
514,3996906454407,3996906503730,49.323
515,3996906504623,3996906554970,50.347
516,3996906555830,3996906605354,49.524
517,3996906606198,3996906656431,50.233
518,3996906657294,3996906707601,50.307
519,3996906708496,3996906758488,49.992
520,3996906759329,3996906810210,50.881
521,3996906811160,3996906861930,50.77
522,3996906862786,3996906905149,42.363
523,3996906907669,3996906948156,40.487
524,3996906949073,3996906989940,40.867
525,3996906992457,3996907034795,42.338
526,3996907035649,3996907077195,41.546
527,3996907078044,3996907119185,41.141
528,3996907120044,3996907161827,41.783
529,3996907162672,3996907203249,40.577
530,3996907204107,3996907244276,40.169
531,3996907245119,3996907286079,40.96
532,3996907286932,3996907327787,40.855
533,3996907328625,3996907368758,40.133
534,3996907369614,3996907410501,40.887
535,3996907411382,3996907452094,40.712
536,3996907452956,3996907494088,41.132
537,3996907495005,3996907536111,41.106
538,3996907536964,3996907577443,40.479
539,3996907578271,3996907618442,40.171
540,3996907619303,3996907660101,40.798
541,3996907660941,3996907701085,40.144
542,3996907701944,3996907742416,40.472
543,3996907743263,3996907784306,41.043
544,3996907785177,3996907826321,41.144
545,3996907827168,3996907867692,40.524
546,3996907868553,3996907909144,40.591
547,3996907909992,3996907949864,39.872
548,3996907950717,3996907990739,40.022
549,3996907991584,3996908033147,41.563
550,3996908034054,3996908074790,40.736
551,3996908075634,3996908116446,40.812
552,3996908117302,3996908158360,41.058
553,3996908159228,3996908199523,40.295
554,3996908200372,3996908240398,40.026
555,3996908242992,3996908284231,41.239
556,3996908285095,3996908325665,40.57
557,3996908326554,3996908368840,42.286
558,3996908369701,3996908411131,41.43
559,3996908411968,3996908452924,40.956
560,3996908453774,3996908494436,40.662
561,3996908495286,3996908536428,41.142
562,3996908537275,3996908577164,39.889
563,3996908578011,3996908618145,40.134
564,3996908618998,3996908660793,41.795
565,3996908661646,3996908702796,41.15
566,3996908703657,3996908744501,40.844
567,3996908745345,3996908786852,41.507
568,3996908787707,3996908828487,40.78
569,3996908829365,3996908869631,40.266
570,3996908870488,3996908911231,40.743
571,3996908912067,3996908951868,39.801
572,3996908952721,3996908993157,40.436
573,3996908994002,3996909035477,41.475
574,3996909036386,3996909077565,41.179
575,3996909078399,3996909118542,40.143
576,3996909121092,3996909162757,41.665
577,3996909163596,3996909203446,39.85
578,3996909204297,3996909244392,40.095
579,3996909245248,3996909285912,40.664
580,3996909286754,3996909327479,40.725
581,3996909328337,3996909368794,40.457
582,3996909369651,3996909410426,40.775
583,3996909411268,3996909452297,41.029
584,3996909453140,3996909493683,40.543
585,3996909494534,3996909535712,41.178
586,3996909536561,3996909576976,40.415
587,3996909580183,3996909621097,40.914
588,3996909622108,3996909662687,40.579
589,3996909663610,3996909706777,43.167
590,3996909707637,3996909748935,41.298
591,3996909749789,3996909790857,41.068
592,3996909791717,3996909832509,40.792
593,3996909833474,3996909873395,39.921
594,3996909874263,3996909914914,40.651
595,3996909915760,3996909956716,40.956
596,3996909957571,3996909997591,40.02
597,3996909998436,3996910053996,55.56
598,3996910054851,3996910105291,50.44
599,3996910106139,3996910156835,50.696
600,3996910157694,3996910208186,50.492
601,3996910209035,3996910258907,49.872
602,3996910259771,3996910324987,65.216
603,3996910339437,3996910389007,49.57
604,3996910389863,3996910440447,50.584
605,3996910441293,3996910491689,50.396
606,3996910492544,3996910542490,49.946
607,3996910543337,3996910593660,50.323
608,3996910594516,3996910644284,49.768
609,3996910645132,3996910695613,50.481
610,3996910696468,3996910745942,49.474
611,3996910746790,3996910796560,49.77
612,3996910797409,3996910847302,49.893
613,3996910848143,3996910888437,40.294
614,3996910889291,3996910930048,40.757
615,3996910930894,3996910971918,41.024
616,3996910986023,3996911031098,45.075
617,3996911031945,3996911073102,41.157
618,3996911073958,3996911113912,39.954
619,3996911118920,3996911159629,40.709
620,3996911160482,3996911201140,40.658
621,3996911201993,3996911257492,55.499
622,3996911259884,3996911315880,55.996
623,3996911316795,3996911357490,40.695
624,3996911358344,3996911399085,40.741
625,3996911399938,3996911440651,40.713
626,3996911441504,3996911481268,39.764
627,3996911483969,3996911524587,40.618
628,3996911525446,3996911566428,40.982
629,3996911567288,3996911608020,40.732
630,3996911608874,3996911649230,40.356
631,3996911650085,3996911691940,41.855
632,3996911692787,3996911734071,41.284
633,3996911734937,3996911775407,40.47
634,3996911776256,3996911816915,40.659
635,3996911817780,3996911858248,40.468
636,3996911859089,3996911899712,40.623
637,3996911900559,3996911941632,41.073
638,3996911942487,3996911983161,40.674
639,3996911984010,3996912025349,41.339
640,3996912026261,3996912067052,40.791
641,3996912067905,3996912108384,40.479
642,3996912109256,3996912149171,39.915
643,3996912150035,3996912190028,39.993
644,3996912190890,3996912246992,56.102
645,3996912247851,3996912295425,47.574
646,3996912296295,3996912350488,54.193
647,3996912352835,3996912395694,42.859
648,3996912396564,3996912435161,38.597
649,3996912436028,3996912475158,39.13
650,3996912476081,3996912514522,38.441
651,3996912517100,3996912555754,38.654
652,3996912556618,3996912610953,54.335
653,3996912613289,3996912658152,44.863
654,3996912659012,3996912699043,40.031
655,3996912699894,3996912739088,39.194
656,3996912739940,3996912778355,38.415
657,3996912779196,3996912817769,38.573
658,3996912818618,3996912858220,39.602
659,3996912859080,3996912897324,38.244
660,3996912898184,3996912936520,38.336
661,3996912937366,3996912987925,50.559
662,3996912990284,3996913033223,42.939
663,3996913034068,3996913073093,39.025
664,3996913073955,3996913112789,38.834
665,3996913113633,3996913151849,38.216
666,3996913152699,3996913191113,38.414
667,3996913192013,3996913231167,39.154
668,3996913232022,3996913295729,63.707
669,3996913323309,3996913374537,51.228
670,3996913375405,3996913425515,50.11
671,3996913426370,3996913477257,50.887
672,3996913478102,3996913541273,63.171
673,3996913542234,3996913592950,50.716
674,3996913593801,3996913643237,49.436
675,3996913644129,3996913693760,49.631
676,3996913694609,3996913750431,55.822
677,3996913752771,3996913815133,62.362
678,3996913815990,3996913855260,39.27
679,3996913857899,3996913897131,39.232
680,3996913898019,3996913936844,38.825
681,3996913937694,3996913976612,38.918
682,3996913977470,3996914030049,52.579
683,3996914046953,3996914085764,38.811
684,3996914086631,3996914148626,61.995
685,3996914149483,3996914201182,51.699
686,3996914202038,3996914252784,50.746
687,3996914253645,3996914304015,50.37
688,3996914304867,3996914354943,50.076
689,3996914355799,3996914405027,49.228
690,3996914405876,3996914455102,49.226
691,3996914455958,3996914505676,49.718
692,3996914506523,3996914557455,50.932
693,3996914558325,3996914608983,50.658
694,3996914609885,3996914659369,49.484
695,3996914660237,3996914710485,50.248
696,3996914711334,3996914760975,49.641
697,3996914761842,3996914811619,49.777
698,3996914812474,3996914863016,50.542
699,3996914863881,3996914913433,49.552
700,3996914914290,3996914964984,50.694
701,3996914965844,3996915016339,50.495
702,3996915017204,3996915067267,50.063
703,3996915068169,3996915118548,50.379
704,3996915119398,3996915157757,38.359
705,3996915158610,3996915196630,38.02
706,3996915197494,3996915236759,39.265
707,3996915237603,3996915275934,38.331
708,3996915276796,3996915316106,39.31
709,3996915316943,3996915356531,39.588
710,3996915357391,3996915397188,39.797
711,3996915398039,3996915436833,38.794
712,3996915437691,3996915476287,38.596
713,3996915477126,3996915525346,48.22
714,3996915527728,3996915575610,47.882
715,3996915585102,3996915654276,69.174
716,3996915656770,3996915716031,59.261
717,3996915718473,3996915778658,60.185
718,3996915781061,3996915841271,60.21
719,3996915843654,3996915905904,62.25
720,3996915908318,3996915955019,46.701
721,3996915957396,3996916013945,56.549
722,3996916016475,3996916060640,44.165
723,3996916061529,3996916100756,39.227
724,3996916101626,3996916158464,56.838
725,3996916159322,3996916209218,49.896
726,3996916210089,3996916260532,50.443
727,3996916261394,3996916310681,49.287
728,3996916311553,3996916361224,49.671
729,3996916363801,3996916414388,50.587
730,3996916415247,3996916464851,49.604
731,3996916465708,3996916516885,51.177
732,3996916517730,3996916567806,50.076
733,3996916568671,3996916619110,50.439
